"","doy","Season","Year","mean_t","mean_vpd","mean_swc","mean_gpp","mean_ET","mean_NEE","mean_ppfd","mean_SWP","mean_PP","mean_DF","mean_3sap","N","se_t","se_vpd","se_GPP","se_swc","se_ET","se_SWP","se_PP","se_DF","se_3sap","se_ppfd"
"49",145,"Pre-monsoon",2022,19.8371428571429,1.99122929057143,5.48571428571429,10.4967277232857,0.000108985486069971,-7.87706644642857,2013.42857142857,5.87224285714286,1.05744285714286,5.76225714285714,4.23064761904762,7,0.399408576378066,0.467188597360372,0.752712037125079,0.00204919753767587,1.12195224250064e-05,0.220394933241759,0.0323281885485397,0.14791402885451,0.126188197723965,22.2152426681034
"50",145,"Pre-monsoon",2023,15.1871428571429,1.47575165171429,8.2984126984127,10.7151196912857,5.40634633883382e-05,-8.17022972385714,1951.14285714286,8.02651428571428,2.95352857142857,7.3392,6.10641428571429,7,0.221496149442123,0.23987139611372,0.468969852621294,0.00289800294976277,5.8865115546759e-06,0.26842753693508,0.0825634178022184,0.137818928826403,0.159477062565451,20.8411549943039
"51",146,"Pre-monsoon",2022,20.9757142857143,2.14730564114286,5.47142857142857,9.63145674542857,5.21548983440233e-05,-6.66639721942857,2012.42857142857,5.28288571428571,1.03441,5.47647142857143,3.93125571428571,7,0.130180408570223,0.24285741249584,0.327077477615921,0.00224478343233824,7.59506143627275e-06,0.256034414938018,0.0563413220173849,0.138467226162325,0.148573071496563,23.1443268198835
"52",146,"Pre-monsoon",2023,14.6314285714286,1.44854807214286,8.08888888888889,10.2357842032857,5.16020527772595e-05,-7.70038070985714,1950.57142857143,7.82332857142857,2.73544285714286,7.24471428571429,5.93449523809524,7,0.31275601757698,0.345700360651201,0.558104052572213,0.00685792666498184,4.15747185287888e-06,0.297709936902704,0.0911279160017935,0.148987179743397,0.177814736450234,20.6960510873994
"53",147,"Pre-monsoon",2022,20.5742857142857,1.93246684371429,5.44920634920635,11.0227590275714,4.66923600460641e-05,-7.81716454114286,2000.14285714286,5.15057142857143,0.967165714285714,5.15941428571429,3.75905047619048,7,0.217757588494497,0.377093737238693,0.55445670697742,0.00330423174518433,1.07741864544918e-05,0.274650576026275,0.0395209938096283,0.151498969709795,0.154872275449392,21.9376047781284
"54",147,"Pre-monsoon",2023,15.7585714285714,1.56666038271429,7.88730158730159,12.1343205721429,4.67257345107872e-05,-9.47827897285714,1947.14285714286,8.19147142857143,2.91448571428571,7.55034285714286,6.21876666666667,7,0.149402437849501,0.120993400720674,0.811640113615634,0.00377853356007557,4.0823273031062e-06,0.206241599787708,0.0989017801095791,0.107978352894817,0.136272948943496,20.7530015860341
"55",148,"Pre-monsoon",2022,15.9728571428571,1.535475026,5.37936507936508,14.0080334542857,4.73382230204082e-05,-10.9875170048571,1901.14285714286,5.07061428571429,1.93445714285714,5.19431428571429,4.0664619047619,7,0.493108286599328,0.556214251273726,0.57712873180733,0.00158730158730158,3.94337079516795e-06,0.289736201387672,0.0279261087697589,0.141139934662244,0.149884866824837,42.3997015776945
"56",148,"Pre-monsoon",2023,15.5214285714286,1.47241617485714,7.70793650793651,12.9587464571429,5.03959928139942e-05,-10.3178075175714,1947,7.92114285714286,2.82857142857143,7.47791428571429,6.07587619047619,7,0.258773927547254,0.278207188509148,0.406290364279296,0.00204919753767587,6.40392701675031e-06,0.251406599959908,0.0935948582080939,0.131860419399005,0.158196815283479,20.8200910294886
"57",149,"Pre-monsoon",2022,14.2071428571429,1.25543635071429,5.32698412698413,13.3198817885714,3.8306384251312e-05,-10.3534891144286,2017,4.23597142857143,1.22341428571429,4.46634285714286,3.30857619047619,7,0.339906950052331,0.495514938043951,0.453880017582613,0.00679641935379105,7.06670646915384e-06,0.367029157862272,0.0429756433153402,0.206552991998183,0.204103147192486,22.1004201640732
"58",149,"Pre-monsoon",2023,15.8,1.38237740857143,7.56666666666667,13.09197498,5.04686572868805e-05,-10.4202299874286,1944.42857142857,8.27577142857143,2.74232857142857,7.59361428571429,6.20390476190476,7,0.266690475127646,0.3234895620025,0.603387326219732,0.0048492864496887,2.48566939336885e-05,0.293801524935494,0.0944207697951435,0.161757302666638,0.181671636371309,21.0236342547836
"59",150,"Pre-monsoon",2022,13.4871428571429,1.18067342395714,5.31111111111111,12.6190600732857,5.04951009212828e-05,-9.775226781,2018.28571428571,3.52145714285714,0.758735714285714,4.32411428571429,2.86810238095238,7,0.494376539962513,0.569994229017146,0.724715928324732,0,5.82621927883958e-06,0.373087302343658,0.0460616095627389,0.299308135880202,0.239188506460073,22.2514999876566
"60",150,"Pre-monsoon",2023,14.9114285714286,1.25760173428571,7.4031746031746,12.9141595442857,8.08830657947522e-05,-10.329961713,1939.42857142857,7.56101428571429,2.69485714285714,7.55732857142857,5.93773333333333,7,0.336207338036605,0.426155416530163,0.899569647506572,0.00526448379421505,2.59557751281337e-05,0.386978158869692,0.134595490721082,0.194819056115798,0.237903202938199,20.6741812100862
"61",151,"Pre-monsoon",2022,17.5314285714286,1.71776639314286,5.28571428571429,11.3217907914286,5.88478351655977e-05,-8.19259590385714,2021.85714285714,4.05361428571429,0.752228571428571,4.61338571428571,3.13974285714286,7,0.421665792798428,0.562274270354716,0.432302619033603,0.00204919753767587,9.33713390953678e-06,0.27598028865825,0.0277837014083001,0.169914700488736,0.156242752845144,22.3771019990872
